CoC Number,Year,County,CoC_Category_Largely Rural CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,total_homeless_per_10k,total_homeless_per_10k_lag1
AZ-502,2016,maricopa county,0.0,1.0,0.0,187100.0,806.0,1045.0,0.4640130044376586,87.0,0.0,0.39,5.1,56004.0,16.3,2033488.0,-0.0316264261747225,13.013598920649088,13.43861426251303
AZ-502,2017,maricopa county,0.0,1.0,0.0,204900.0,830.0,1053.0,0.45988263,78.0,0.0,0.4,4.7,58737.0,15.0,2088551.0,0.0971992692478167,14.278511226020354,13.013598920649088
AZ-502,2018,maricopa county,0.0,1.0,0.0,225000.0,862.0,1086.0,0.4531691843784261,72.0,0.27,0.39,4.3,62223.0,13.4,2088547.0,0.0327108241158506,14.745573095370906,14.278511226020354
CA-500,2012,santa clara county,0.0,1.0,0.0,681100.0,1381.0,1830.0,0.4403907085628948,32.0,0.0,0.41,5.5,84895.0,10.6,321393.5,0.067693560620424,40.98191178389735,38.38358991327366
CA-500,2013,santa clara county,0.0,1.0,0.0,656600.0,1427.0,1858.0,0.4480088539299195,31.0,0.0,0.42,8.0,91425.0,10.8,955979.0,-0.0254304437868331,39.93972358,40.98191178389735
CA-500,2014,santa clara county,0.0,1.0,0.0,645600.0,1473.0,1868.0,0.4553801011543956,31.0,0.0,0.43,6.6,92014.0,10.5,968154.0,-0.1441940050730883,34.18065487548773,39.93972358
CA-500,2015,santa clara county,0.0,1.0,0.0,664100.0,1541.0,1902.0,0.462528013,29.0,0.0,0.43,5.2,97532.0,8.4,987613.0,-0.0055850836585331,33.98975305850468,34.18065487548773
CA-500,2016,santa clara county,0.0,1.0,0.0,698600.0,1616.0,1938.0,0.461837418,27.0,0.0,0.43,4.2,102340.0,8.2,1012215.0,0.1223889415207946,38.14972295788826,33.98975305850468
CA-500,2017,santa clara county,0.0,1.0,0.0,752400.0,1727.0,2026.0,0.4622508482542853,28.0,0.0,0.43,3.8,111069.0,9.4,1027918.0,-0.0186390758531064,37.438647377901184,38.14972295788826
CA-500,2018,santa clara county,0.0,1.0,0.0,829600.0,1859.0,2152.0,0.4581257571238682,33.0,0.21,0.43,3.2,119035.0,7.4,1037356.0,0.3447651538306402,50.34618840035438,37.438647377901184
CA-502,2012,alameda county,0.0,1.0,0.0,558300.0,1153.0,1555.0,0.4932112771990005,50.0,0.0,0.45,5.5,67558.0,13.1,321393.5,-0.013689669153418,27.006297458152588,27.38113615313368
CA-502,2013,alameda county,0.0,1.0,0.0,514900.0,1189.0,1565.0,0.4966742976734116,44.0,0.0,0.46,8.8,70500.0,13.1,796456.0,-0.0180441672527527,26.51899130994009,27.006297458152588
CA-502,2014,alameda county,0.0,1.0,0.0,493800.0,1200.0,1566.0,0.4994218203056708,43.0,0.0,0.47,7.3,72399.0,12.9,799847.0,-0.0700631319959661,24.66098772139188,26.51899130994009
CA-502,2015,alameda county,0.0,1.0,0.0,509300.0,1233.0,1590.0,0.5024741530783693,39.0,0.0,0.47,5.9,77214.0,12.5,806326.0,0.0200815013191113,25.1562173788496,24.66098772139188
CA-502,2016,alameda county,0.0,1.0,0.0,543100.0,1272.0,1614.0,0.5000359490356198,32.0,0.0,0.47,4.8,81717.0,11.4,819008.0,0.3453771417841067,33.844599835256346,25.1562173788496
CA-502,2017,alameda county,0.0,1.0,0.0,593500.0,1344.0,1673.0,0.4962657709996675,28.0,0.0,0.47,4.3,89979.0,10.7,831827.0,-0.0257148232750501,32.97429193167794,33.844599835256346
CA-502,2018,alameda county,0.0,1.0,0.0,649100.0,1447.0,1779.0,0.4889810510727254,26.0,0.24,0.47,3.7,96296.0,9.2,838175.0,0.4556106692553099,47.99773114688969,32.97429193167794
CA-503,2012,sacramento county,0.0,1.0,0.0,285000.0,886.0,1264.0,0.5396479209738235,69.0,0.0,0.41,5.5,52314.0,17.7,321393.5,-0.104853210934227,17.358225767732165,19.39148526226432
CA-503,2013,sacramento county,0.0,1.0,0.0,249800.0,895.0,1253.0,0.5446467193726818,67.0,0.0,0.42,10.7,52667.0,19.6,679873.0,-0.048020426953775,16.524676355205646,17.358225767732165
CA-503,2014,sacramento county,0.0,1.0,0.0,234200.0,899.0,1232.0,0.548709706,64.0,0.0,0.43,9.0,52936.0,19.0,677831.0,0.0717852248017569,17.71090396214036,16.524676355205646
CA-503,2015,sacramento county,0.0,1.0,0.0,236500.0,906.0,1217.0,0.5412078075193223,60.0,0.0,0.44,7.4,55842.0,18.2,677696.0,-0.067945144199164,16.507534038535187,17.71090396214036
CA-503,2016,sacramento county,0.0,1.0,0.0,248400.0,911.0,1206.0,0.5292501824112623,56.0,0.0,0.45,6.0,58942.0,16.9,684577.0,0.4505269842514283,23.944623566344248,16.507534038535187
CA-503,2017,sacramento county,0.0,1.0,0.0,271300.0,936.0,1215.0,0.5245959241040056,51.0,0.0,0.45,5.4,59780.0,16.4,693979.0,-0.018647760415146,23.4981099628482,23.944623566344248
CA-503,2018,sacramento county,0.0,1.0,0.0,299900.0,981.0,1251.0,0.521885849,43.0,0.26,0.45,4.7,63045.0,14.1,696466.0,0.5247969569323379,35.82984656501239,23.4981099628482
CA-504,2012,sonoma county,0.0,0.0,1.0,477300.0,1133.0,1490.0,0.5216955705758675,51.0,0.0,0.38,5.5,61020.0,12.2,321393.5,-0.051446064102456,86.46027978384929,91.14956621
CA-504,2013,sonoma county,0.0,0.0,1.0,430900.0,1149.0,1487.0,0.5329944262386914,51.0,0.0,0.39,9.0,59941.0,12.1,245671.0,-0.0137644428737727,85.27020220191409,86.46027978384929
CA-504,2014,sonoma county,0.0,0.0,1.0,407400.0,1161.0,1478.0,0.5352713911328452,48.0,0.0,0.4,7.2,61029.0,12.4,249019.0,-0.2767075946325292,61.67528965679304,85.27020220191409
CA-504,2015,sonoma county,0.0,0.0,1.0,414500.0,1193.0,1486.0,0.5455400180094284,43.0,0.0,0.4,5.7,67771.0,11.3,255563.0,-0.0633960334691263,57.76532092949292,61.67528965679304
CA-504,2016,sonoma county,0.0,0.0,1.0,436400.0,1209.0,1475.0,0.5385736035279295,37.0,0.0,0.41,4.5,66674.0,11.1,257659.0,-0.0266514447023045,56.22579167302967,57.76532092949292
CA-504,2017,sonoma county,0.0,0.0,1.0,464700.0,1261.0,1504.0,0.5338079691617826,33.0,0.0,0.4,4.0,73929.0,9.2,259214.0,0.0658267272583865,59.92695152637705,56.22579167302967
CA-504,2018,sonoma county,0.0,0.0,1.0,513300.0,1327.0,1577.0,0.5308283631544068,29.0,0.28,0.4,3.4,80409.0,9.2,259768.0,-0.0038498959232976,59.696239,59.92695152637705
CA-505,2012,contra costa county,0.0,0.0,0.0,490200.0,1210.0,1804.0,0.5276744620505766,59.0,0.0,0.32,5.5,74353.0,12.0,321393.5,-0.1729675875743369,18.27811059170813,22.100839479917045
CA-505,2013,contra costa county,0.0,0.0,0.0,433800.0,1234.0,1780.0,0.5304203584577416,54.0,0.0,0.33,9.1,74177.0,11.2,534520.0,-0.0109868163539655,18.07729234733956,18.27811059170813
CA-505,2014,contra costa county,0.0,0.0,0.0,404000.0,1250.0,1741.0,0.527302128,52.0,0.0,0.34,7.6,79100.0,10.8,536032.0,-0.0028720214766655,18.02537397547804,18.07729234733956
CA-505,2015,contra costa county,0.0,0.0,0.0,417400.0,1289.0,1719.0,0.5293091783808164,46.0,0.0,0.35,6.2,80361.0,10.5,538458.0,-0.1544926926118061,15.240585414671662,18.02537397547804
CA-505,2016,contra costa county,0.0,0.0,0.0,439900.0,1315.0,1700.0,0.5229816587977467,35.0,0.0,0.35,5.1,83104.0,10.3,544617.0,-0.0810653649315354,14.005101796261066,15.240585414671662
CA-505,2017,contra costa county,0.0,0.0,0.0,472900.0,1393.0,1736.0,0.5126231952576644,30.0,0.0,0.35,4.5,91045.0,8.6,553221.0,0.3868128974918705,19.42245580174141,14.005101796261066
CA-505,2018,contra costa county,0.0,0.0,0.0,522300.0,1480.0,1811.0,0.5066519836899908,28.0,0.22,0.34,3.9,95339.0,9.3,557869.0,0.0243565770878233,19.895520343711368,19.42245580174141
CA-507,2012,marin county,0.0,0.0,0.0,840900.0,1475.0,1968.0,0.530200284,30.0,0.0,0.37,5.5,77168.0,9.5,321393.5,-0.0758722443589229,26.164534669943684,28.31268134760553
CA-507,2013,marin county,0.0,0.0,0.0,810700.0,1491.0,1965.0,0.5302613836738927,32.0,0.0,0.37,6.4,90535.0,7.9,136522.0,-0.0047494142408958,26.04026845637584,26.164534669943684
CA-507,2014,marin county,0.0,0.0,0.0,781900.0,1520.0,1985.0,0.5318665831506421,34.0,0.0,0.37,5.2,96580.0,8.4,137807.0,0.9375899152737792,50.45536155209573,26.04026845637584
CA-507,2015,marin county,0.0,0.0,0.0,785100.0,1561.0,2005.0,0.5349730178497302,30.0,0.0,0.37,4.3,95749.0,8.8,138458.0,-0.0434362405851684,48.26377032890724,50.45536155209573
CA-507,2016,marin county,0.0,0.0,0.0,815100.0,1587.0,2000.0,0.5151126062504815,27.0,0.0,0.38,3.6,100662.0,7.1,138677.0,-0.1131170518072925,42.80431492019697,48.26377032890724
CA-507,2017,marin county,0.0,0.0,0.0,859400.0,1686.0,2106.0,0.4980366492146597,26.0,0.0,0.37,3.3,103845.0,7.8,139632.0,-0.0148293144100318,42.16955627613935,42.80431492019697
CA-507,2018,marin county,0.0,0.0,0.0,908800.0,1781.0,2230.0,0.4981091877496671,23.0,0.31,0.36,2.9,113908.0,8.2,139632.0,-0.0526431342761011,39.94961866273095,42.16955627613935
CA-510,2012,stanislaus county,0.0,0.0,0.0,232000.0,811.0,1171.0,0.5517022887786484,62.0,0.0,0.39,5.5,44076.0,23.8,321393.5,-0.1888468286679264,22.85481578181168,28.17570908867873
CA-510,2013,stanislaus county,0.0,0.0,0.0,192200.0,824.0,1165.0,0.5534631907255929,58.0,0.0,0.41,15.1,46405.0,20.3,241659.0,-0.0492399479311292,21.72944584273972,22.85481578181168
CA-510,2014,stanislaus county,0.0,0.0,0.0,172900.0,825.0,1137.0,0.5506518410395111,63.0,0.0,0.42,13.1,47962.0,22.1,240268.0,0.2035347451277913,26.152143064109897,21.72944584273972
CA-510,2015,stanislaus county,0.0,0.0,0.0,175400.0,826.0,1126.0,0.5483525947327481,53.0,0.0,0.43,11.3,51084.0,18.0,240222.0,0.0125005980198618,26.479060491912254,26.152143064109897
CA-510,2016,stanislaus county,0.0,0.0,0.0,190800.0,825.0,1103.0,0.5437044318833456,47.0,0.0,0.43,9.6,52363.0,19.7,240986.0,0.1448973572771839,30.315806380373026,26.479060491912254
CA-510,2017,stanislaus county,0.0,0.0,0.0,216000.0,838.0,1113.0,0.5374831035414978,41.0,0.0,0.43,8.6,54305.0,14.2,242737.0,-0.186469235618266,24.662841137473517,30.315806380373026
CA-510,2018,stanislaus county,0.0,0.0,0.0,244100.0,864.0,1140.0,0.5256344004134142,37.0,0.2,0.43,7.5,59514.0,13.5,241971.0,0.4159654231495013,34.921730287291616,24.662841137473517
CA-511,2012,san joaquin county,0.0,0.0,0.0,264600.0,846.0,1285.0,0.5467712806037628,57.0,0.0,0.39,5.5,50853.0,18.1,321393.5,-0.0203095865599493,21.87742678302448,22.33095933459719
CA-511,2013,san joaquin county,0.0,0.0,0.0,225400.0,862.0,1264.0,0.5522984295590861,56.0,0.0,0.41,14.6,50722.0,18.4,311393.0,0.0143451285485072,22.19126128253752,21.87742678302448
CA-511,2014,san joaquin county,0.0,0.0,0.0,208000.0,872.0,1234.0,0.5488579597921742,63.0,0.0,0.42,12.5,51432.0,19.9,312140.0,0.0599999725251929,23.52273634978915,22.19126128253752
CA-511,2015,san joaquin county,0.0,0.0,0.0,211300.0,868.0,1211.0,0.5454729679284122,59.0,0.0,0.43,10.7,51659.0,20.9,311543.0,0.0313553245779314,24.260299382997893,23.52273634978915
CA-511,2016,san joaquin county,0.0,0.0,0.0,223000.0,864.0,1190.0,0.5421009411913335,54.0,0.0,0.43,8.9,53705.0,17.4,314401.0,-0.1473224152226704,20.686213483869583,24.260299382997893
CA-511,2017,san joaquin county,0.0,0.0,0.0,246900.0,877.0,1200.0,0.5340891743081918,46.0,0.0,0.44,8.2,59518.0,14.4,318316.0,0.0822312412220103,22.387266494831664,20.686213483869583
CA-511,2018,san joaquin county,0.0,0.0,0.0,281100.0,902.0,1236.0,0.5280093667359751,45.0,0.2,0.44,7.0,61164.0,15.5,322951.0,0.5419861207825722,34.52085421729113,22.387266494831664
CA-512,2012,san mateo county,0.0,0.0,0.0,763100.0,1433.0,1874.0,0.4639868616563697,38.0,0.0,0.4,5.5,81657.0,7.7,321393.5,0.0696366946168158,26.69349842715752,24.95566818294331
CA-512,2013,san mateo county,0.0,0.0,0.0,734100.0,1452.0,1891.0,0.4774136318494306,34.0,0.0,0.4,6.5,81609.0,8.4,410898.0,-0.0004533877441179,26.681395922123016,26.69349842715752
CA-512,2014,san mateo county,0.0,0.0,0.0,722200.0,1509.0,1917.0,0.4853043785783241,31.0,0.0,0.41,5.3,91322.0,7.8,416399.0,-0.2735687224432815,19.38220052670444,26.681395922123016
CA-512,2015,san mateo county,0.0,0.0,0.0,736800.0,1574.0,1950.0,0.4839456724974136,28.0,0.0,0.41,4.3,101051.0,7.3,425863.0,-0.08186008743755,17.795571896856288,19.38220052670444
CA-512,2016,san mateo county,0.0,0.0,0.0,776300.0,1647.0,1990.0,0.4896837866571329,25.0,0.0,0.41,3.4,101272.0,8.5,434234.0,-0.0872457641974934,16.242983627383623,17.795571896856288
CA-512,2017,san mateo county,0.0,0.0,0.0,845300.0,1744.0,2079.0,0.4817561359758499,26.0,0.0,0.41,3.1,108627.0,6.5,441792.0,-0.0095767714483205,16.087428285545357,16.242983627383623
CA-512,2018,san mateo county,0.0,0.0,0.0,917700.0,1879.0,2219.0,0.4766215036623781,30.0,0.23,0.4,2.7,116653.0,6.2,444909.0,0.2260597876051107,19.72414890688819,16.087428285545357
CA-514,2012,fresno county,0.0,1.0,0.0,236400.0,725.0,1013.0,0.5319377682904978,57.0,0.0,0.45,5.5,42807.0,25.8,321393.5,-0.3083657299656283,32.776005158740126,47.38921505019015
CA-514,2013,fresno county,0.0,1.0,0.0,212100.0,731.0,1014.0,0.5433736130862301,62.0,0.0,0.46,15.4,41627.0,28.4,439492.0,-0.181321206764307,26.83302035044421,32.776005158740126
CA-514,2014,fresno county,0.0,1.0,0.0,195400.0,748.0,1006.0,0.5454151829372988,64.0,0.0,0.46,13.4,43925.0,28.8,436620.0,-0.3417044935219064,17.664056721932663,26.83302035044421
CA-514,2015,fresno county,0.0,1.0,0.0,191700.0,753.0,1003.0,0.5505205635364759,62.0,0.0,0.47,11.7,43423.0,27.7,437617.0,0.087856131042393,19.215952404035043,17.664056721932663
CA-514,2016,fresno county,0.0,1.0,0.0,194600.0,752.0,992.0,0.5503357624561077,52.0,0.0,0.47,10.3,46949.0,25.3,440308.0,0.0605236537976014,20.37897205472805,19.215952404035043
CA-514,2017,fresno county,0.0,1.0,0.0,204900.0,765.0,996.0,0.5546477863164334,46.0,0.0,0.47,9.5,48715.0,25.6,444737.0,0.0579895829342735,21.560740144810943,20.37897205472805
CA-514,2018,fresno county,0.0,1.0,0.0,220600.0,780.0,1029.0,0.5410405928516531,39.0,0.21,0.47,8.6,51800.0,21.1,444452.0,0.1642720537106139,25.10256720791992,21.560740144810943
CA-600,2012,los angeles county,0.0,1.0,0.0,478300.0,1066.0,1390.0,0.5506627896726791,43.0,0.0,0.52,5.5,52280.0,18.3,321393.5,0.1197511433474634,35.46347094778632,31.670850401428755
CA-600,2013,los angeles county,0.0,1.0,0.0,443300.0,1098.0,1407.0,0.5586250427683196,45.0,0.0,0.53,11.0,53001.0,19.1,4904883.0,-0.0413728297561679,33.99624680170075,35.46347094778632
CA-600,2014,los angeles county,0.0,1.0,0.0,420200.0,1110.0,1408.0,0.5640724427719008,44.0,0.0,0.53,9.8,54529.0,18.9,4955806.0,0.1908543971507372,40.48457999042702,33.99624680170075
CA-600,2015,los angeles county,0.0,1.0,0.0,425100.0,1129.0,1412.0,0.5696558364912717,41.0,0.0,0.54,8.2,55746.0,18.7,4982412.0,0.0684911481444237,43.25741535611613,40.48457999042702
CA-600,2016,los angeles county,0.0,1.0,0.0,441900.0,1139.0,1409.0,0.5686244817631679,37.0,0.0,0.54,6.7,59134.0,16.6,4973756.0,0.1928204850385015,51.59833116659436,43.25741535611613
CA-600,2017,los angeles county,0.0,1.0,0.0,465000.0,1167.0,1433.0,0.5648990135608036,33.0,0.0,0.54,5.3,61338.0,16.3,5018920.0,-0.0419576050087898,49.43338876839366,51.59833116659436
CA-600,2018,los angeles county,0.0,1.0,0.0,495800.0,1210.0,1482.0,0.561129079,32.0,0.26,0.54,4.8,65006.0,14.9,5109810.0,0.1336033026528953,56.03785276917559,49.43338876839366
CA-601,2012,san diego county,0.0,1.0,0.0,455000.0,1187.0,1540.0,0.5442060175950616,50.0,0.0,0.45,5.5,59477.0,15.1,321393.5,-0.1226936377629194,27.649651911466304,31.516529574641734
CA-601,2013,san diego county,0.0,1.0,0.0,419400.0,1210.0,1547.0,0.5484554771591904,50.0,0.0,0.45,9.3,60330.0,15.0,1536925.0,-0.0573265501225189,26.06459275529343,27.649651911466304
CA-601,2014,san diego county,0.0,1.0,0.0,402100.0,1219.0,1539.0,0.5501386814593556,47.0,0.0,0.46,7.9,61426.0,15.2,1537644.0,0.0165036950112169,26.49475484471837,26.06459275529343
CA-601,2015,san diego county,0.0,1.0,0.0,412800.0,1241.0,1542.0,0.544189838,45.0,0.0,0.47,6.5,66192.0,14.7,1537512.0,-0.0137987000561956,26.129161669553664,26.49475484471837
CA-601,2016,san diego county,0.0,1.0,0.0,429600.0,1255.0,1534.0,0.5407879971577121,41.0,0.0,0.47,5.2,67320.0,13.8,1548794.0,0.0503272925862954,27.444171633931905,26.129161669553664
CA-601,2017,san diego county,0.0,1.0,0.0,454600.0,1307.0,1578.0,0.5405882725175601,38.0,0.0,0.47,4.7,70824.0,12.3,1563246.0,-0.0653457528269687,25.650811577800084,27.444171633931905
CA-601,2018,san diego county,0.0,1.0,0.0,484900.0,1381.0,1645.0,0.5421043063940527,36.0,0.24,0.47,4.0,76207.0,11.8,1570791.0,-0.0538459273988589,24.26961983986005,25.650811577800084
CA-602,2012,orange county,0.0,0.0,0.0,575100.0,1381.0,1739.0,0.5356836515878689,49.0,0.0,0.4,5.5,72293.0,12.9,321393.5,-0.3982987866200227,13.649661262993428,22.685115069518066
CA-602,2013,orange county,0.0,0.0,0.0,537600.0,1398.0,1742.0,0.5432942320670081,47.0,0.0,0.41,8.0,71983.0,12.9,1558477.0,-0.1072596079549143,12.185603947207372,13.649661262993428
CA-602,2014,orange county,0.0,0.0,0.0,519600.0,1413.0,1736.0,0.5481882595523049,45.0,0.0,0.41,6.7,74163.0,13.5,1559480.0,0.1526024121595754,14.045156503172462,12.185603947207372
CA-602,2015,orange county,0.0,0.0,0.0,532300.0,1435.0,1735.0,0.5548135582706453,40.0,0.0,0.42,5.6,76306.0,12.8,1565446.0,-0.030716968666584,13.613731870947245,14.045156503172462
CA-602,2016,orange county,0.0,0.0,0.0,553600.0,1455.0,1735.0,0.5521322465718793,35.0,0.0,0.42,4.5,78428.0,12.7,1584296.0,0.1033021895043777,15.020060180541623,13.613731870947245
CA-602,2017,orange county,0.0,0.0,0.0,584200.0,1499.0,1762.0,0.5517903312468715,33.0,0.0,0.43,4.1,81837.0,11.0,1597447.0,0.03545344331555,15.552573032748604,15.020060180541623
CA-602,2018,orange county,0.0,0.0,0.0,620500.0,1592.0,1828.0,0.5498103912470642,32.0,0.21,0.43,3.5,86217.0,11.5,1605787.0,0.3889400191726075,21.601591086289226,15.552573032748604
CA-603,2012,santa barbara county,0.0,0.0,0.0,523800.0,1220.0,1486.0,0.5447023393058132,36.0,0.0,0.46,5.5,60505.0,15.1,321393.5,0.2049073703056292,43.19515626685518,35.84935849126607
CA-603,2013,santa barbara county,0.0,0.0,0.0,482400.0,1239.0,1491.0,0.5423500371026608,37.0,0.0,0.47,8.5,61890.0,16.3,215485.0,-0.0375483855073199,41.57324788729837,43.19515626685518
CA-603,2014,santa barbara county,0.0,0.0,0.0,453000.0,1242.0,1485.0,0.5466406517627084,33.0,0.0,0.47,7.3,62421.0,16.3,216531.0,-0.064924821727536,38.87411217958086,41.57324788729837
CA-603,2015,santa barbara county,0.0,0.0,0.0,446500.0,1267.0,1488.0,0.5461847389558233,36.0,0.0,0.48,6.2,63833.0,18.0,217331.0,0.0452903837692264,40.63473563888204,38.87411217958086
CA-603,2016,santa barbara county,0.0,0.0,0.0,465300.0,1278.0,1479.0,0.5482879207343727,32.0,0.0,0.48,5.3,63625.0,15.7,217158.0,0.0213911835498994,41.50396072743501,40.63473563888204
CA-603,2017,santa barbara county,0.0,0.0,0.0,480000.0,1333.0,1507.0,0.5542842984361108,30.0,0.0,0.48,5.1,67436.0,13.9,215256.0,-0.0794619193758008,38.20597634633516,41.50396072743501
CA-603,2018,santa barbara county,0.0,0.0,0.0,509400.0,1397.0,1569.0,0.5499876286259042,30.0,0.24,0.48,4.6,71106.0,14.5,214948.0,0.0569244234013228,40.38082952033487,38.20597634633516
CA-604,2012,kern county,0.0,1.0,0.0,196000.0,707.0,999.0,0.5143111093356769,63.0,0.0,0.4,5.5,45224.0,24.5,321393.5,-0.1557838825399785,13.331420027681212,15.79147774125804
CA-604,2013,kern county,0.0,1.0,0.0,171200.0,722.0,1009.0,0.5272070401174641,61.0,0.0,0.41,13.4,45910.0,23.8,391269.0,-0.1491926175863431,11.342470577608452,13.331420027681212
CA-604,2014,kern county,0.0,1.0,0.0,161700.0,738.0,1005.0,0.52114688,60.0,0.0,0.42,11.9,46879.0,22.8,392205.0,-0.0465773283445448,10.814168601276844,11.342470577608452
CA-604,2015,kern county,0.0,1.0,0.0,161800.0,746.0,999.0,0.5176761501046168,56.0,0.0,0.43,10.5,47644.0,24.8,391896.0,0.1151468431685049,12.05938597720584,10.814168601276844
CA-604,2016,kern county,0.0,1.0,0.0,167400.0,741.0,988.0,0.5105929380413058,56.0,0.0,0.43,10.3,51342.0,21.9,390138.0,-0.2479434557329455,9.069340144,12.05938597720584
CA-604,2017,kern county,0.0,1.0,0.0,175600.0,755.0,999.0,0.5101213858512935,56.0,0.0,0.43,10.4,49903.0,22.7,388109.0,0.0881516248487945,9.868817214,9.069340144
CA-604,2018,kern county,0.0,1.0,0.0,190600.0,774.0,1021.0,0.5075068985885444,53.0,0.2,0.43,9.3,49854.0,21.4,384073.0,0.4970853559799646,14.774461731922392,9.868817214
CA-608,2012,riverside county,0.0,0.0,0.0,284100.0,997.0,1451.0,0.5718588412180559,80.0,0.0,0.31,5.5,52883.0,16.8,321393.5,-0.5165383565800874,12.99014572256486,26.86903066533908
CA-608,2013,riverside county,0.0,0.0,0.0,248100.0,1019.0,1427.0,0.5788141342305714,76.0,0.0,0.32,11.8,52621.0,17.8,985244.0,-0.0266898407535176,12.643440801864616,12.99014572256486
