CoC Number,County,Year,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,target_class
CA-505,contra costa county,2015,2.3776552074243043,5.1,165.21,1094.83,2015,0.16,0.0,0.0,522500.0,890373.0,20505.0,121,0,1,0,0,18.02537397547804,6.248086301692042,11.777287673785994,417400.0,1289.0,1719.0,0.5293091783808164,46.0,0.0,0.35,6.2,80361.0,10.5,538458.0,-0.1544926926118061,0
CA-505,contra costa county,2016,2.3130069089816763,4.5,182.19,1207.36,2016,0.16,0.0,0.0,577000.0,898830.0,20200.0,219,0,1,0,0,15.240585414671662,5.461943905836087,9.778641508835577,439900.0,1315.0,1700.0,0.5229816587977467,35.0,0.0,0.35,5.1,83104.0,10.3,544617.0,-0.08106536493153549,0
CA-505,contra costa county,2017,2.2114858945732148,3.9,195.8,1297.55,2017,0.17,0.21,0.22,642300.0,910926.0,19675.0,55,0,1,0,0,14.005101796261066,6.065681922960611,7.939419873300454,472900.0,1393.0,1736.0,0.5126231952576644,30.0,0.0,0.35,4.5,91045.0,8.6,553221.0,0.38681289749187053,1
CA-505,contra costa county,2018,2.132250825572173,3.2,209.52,1388.48,2018,0.17,0.22,0.22,670000.0,916637.0,19328.0,75,0,1,0,0,19.42245580174141,6.059736658,13.362719143812244,522300.0,1480.0,1811.0,0.5066519836899908,28.0,0.22,0.34,3.9,95339.0,9.3,557869.0,0.02435657708782335,1
CA-507,marin county,2013,2.7993819659039616,5.2,140.66,1192.7,2013,0.06,0.0,0.0,784200.0,780155.0,22795.0,0,0,1,0,0,26.164534669943684,19.54599113657036,6.6185435333733285,810700.0,1491.0,1965.0,0.5302613836738927,32.0,0.0,0.37,6.4,90535.0,7.9,136522.0,-0.004749414240895811,0
CA-507,marin county,2014,2.7993819659039616,4.3,158.98,1348.02,2014,0.06,0.0,0.0,862800.0,780155.0,22795.0,0,0,1,0,0,26.04026845637584,19.213806327900286,6.826462128475551,781900.0,1520.0,1985.0,0.5318665831506421,34.0,0.0,0.37,5.2,96580.0,8.4,137807.0,0.9375899152737792,1
CA-507,marin county,2015,2.7993819659039616,3.6,169.55,1437.63,2015,0.06,0.0,0.0,906500.0,780155.0,22795.0,173,0,1,0,0,50.45536155209573,18.49009076605633,31.965270786039408,785100.0,1561.0,2005.0,0.5349730178497302,30.0,0.0,0.37,4.3,95749.0,8.8,138458.0,-0.043436240585168484,0
CA-507,marin county,2016,2.7993819659039616,3.3,184.85,1567.32,2016,0.05,0.0,0.0,974600.0,780155.0,22795.0,118,0,1,0,0,48.26377032890724,16.228596859402035,32.0351734695052,815100.0,1587.0,2000.0,0.5151126062504815,27.0,0.0,0.38,3.6,100662.0,7.1,138677.0,-0.11311705180729259,0
CA-507,marin county,2017,2.7993819659039616,2.9,189.18,1604.06,2017,0.06,0.29,0.31,1014000.0,780155.0,22795.0,172,0,1,0,0,42.80431492019697,15.673200360215365,27.131114559981604,859400.0,1686.0,2106.0,0.4980366492146597,26.0,0.0,0.37,3.3,103845.0,7.8,139632.0,-0.01482931441003188,0
CA-507,marin county,2018,2.7993819659039616,2.4,199.75,1693.73,2018,0.06,0.28,0.31,1071200.0,780155.0,22795.0,176,0,1,0,0,42.16955627613935,14.903760985265688,27.265795290873665,908800.0,1781.0,2230.0,0.4981091877496671,23.0,0.31,0.36,2.9,113908.0,8.2,139632.0,-0.05264313427610112,0
