CoC Number,County,Year,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k_lag1,total_sheltered_homeless_per_10k_lag1,unsheltered_homeless_per_10k_lag1,Median_House_Values_5_year_lag1,Median_Rent_5_year_lag1,Median_Gross_Rent_5_year_lag1,Percentage_of_Households_with_Cost_Burden_5_year_lag1,Rental_Vacancy_Rates_5_year_lag1,Share_of_Single_Person_Households_5_year_lag1,Share_of_Renter_Occupied_Units_5_year_lag1,Unemployment Rate_lag1,Median Household Income_lag1,Poverty Rate_lag1,Labor Force_lag1,pct_change_total_homeless_per_10k,target_class
NC-500,forsyth county,2018,2.7993819659039616,3.9,130.49,387.61,2018,0.03,0.33,0.32,163200.0,780155.0,22795.0,13,0,0,0,1,11.606466912336884,10.735981893911616,0.8704850184252663,151400.0,622.0,842.0,0.4726765423940378,10.2,0.32,0.38,4.4,50185.0,16.7,182173.0,0.023192144571838158,1
NC-501,buncombe county,2013,2.7993819659039616,5.8,145.61,549.29,2013,0.01,0.0,0.0,193500.0,780155.0,22795.0,0,0,1,0,0,22.992029429797668,20.69282649,2.299202942979767,191500.0,648.0,826.0,0.4507522967092351,5.6,0.0,0.35,7.4,43294.0,17.6,127452.0,-0.07992501500099125,0
NC-501,buncombe county,2014,2.7993819659039616,4.6,154.46,582.65,2014,0.01,0.0,0.0,191100.0,780155.0,22795.0,0,0,1,0,0,21.15439113271786,18.55998467304492,2.5944064596729453,191200.0,675.0,839.0,0.4450217901441501,5.7,0.0,0.35,5.8,46431.0,14.8,127980.0,0.0493245189963587,1
NC-501,buncombe county,2015,2.7993819659039616,4.3,164.53,620.64,2015,0.01,0.0,0.0,204000.0,780155.0,22795.0,6,0,1,0,0,22.1978213,19.274976498747915,2.9228447969412823,189500.0,694.0,850.0,0.4499386000818665,3.9,0.0,0.36,4.6,47671.0,12.6,127808.0,-0.10459770518876643,0
NC-501,buncombe county,2016,2.7993819659039616,3.9,178.01,671.52,2016,0.01,0.0,0.0,221000.0,780155.0,22795.0,14,0,1,0,0,19.87598013182968,17.06444659648246,2.8115335353472246,192400.0,698.0,846.0,0.467610249,4.1,0.0,0.37,4.3,44619.0,15.0,130295.0,0.09761517221947047,1
NC-501,buncombe county,2017,2.7993819659039616,3.4,190.96,720.34,2017,0.01,0.36,0.34,240100.0,780155.0,22795.0,25,0,1,0,0,21.81617735542901,17.74020115912999,4.075976196299013,198100.0,727.0,861.0,0.4667249958987258,3.9,0.0,0.36,3.9,50685.0,13.1,133951.0,-0.0199264522553535,0
NC-501,buncombe county,2018,2.7993819659039616,3.0,204.6,771.81,2018,0.01,0.33,0.34,257200.0,780155.0,22795.0,21,0,1,0,0,21.38145833896173,19.181561000837505,2.199897338124221,209800.0,770.0,894.0,0.460809152,3.8,0.34,0.36,3.4,50040.0,10.5,134657.0,0.038562081358307854,1
NC-502,durham county,2013,2.7993819659039616,6.1,121.04,418.91,2013,0.04,0.0,0.0,179000.0,780155.0,22795.0,0,0,0,0,1,26.13376461564625,24.29433629608549,1.8394283195607584,179800.0,704.0,998.0,0.4903987279843444,8.0,0.0,0.45,7.6,51094.0,19.8,149901.0,0.05388341808116759,1
NC-502,durham county,2014,2.7993819659039616,5.0,128.25,443.89,2014,0.04,0.0,0.0,181900.0,780155.0,22795.0,0,0,0,0,1,27.54194118046594,25.742036269781973,1.7999049106839635,180600.0,718.0,1000.0,0.483527461,7.0,0.0,0.45,6.1,52488.0,16.6,150701.0,-0.019158652449183244,0
NC-502,durham county,2015,2.7993819659039616,5.0,133.5,462.05,2015,0.05,0.0,0.0,195200.0,780155.0,22795.0,30,0,0,0,1,27.014274701613544,25.55224753449055,1.4620271671229963,180200.0,728.0,1009.0,0.4815601467464762,6.3,0.0,0.46,5.0,50504.0,16.4,153026.0,-0.5720552092723258,0
NC-502,durham county,2016,2.7993819659039616,4.5,142.37,492.76,2016,0.05,0.0,0.0,194800.0,780155.0,22795.0,18,0,0,0,1,11.560618133841912,10.51559051,1.045027627917913,183800.0,743.0,1003.0,0.4688651505564447,6.3,0.0,0.46,5.0,53495.0,17.3,156464.0,-0.01741753305095628,0
NC-502,durham county,2017,2.7993819659039616,4.1,155.56,538.4,2017,0.05,0.33,0.33,227200.0,780155.0,22795.0,12,0,0,0,1,11.359260685406236,9.433962264150944,1.9252984212552944,186800.0,771.0,1023.0,0.4604584269662921,5.8,0.0,0.47,4.5,53832.0,16.3,161608.0,-0.06056855558934493,0
NC-502,durham county,2018,2.7993819659039616,3.6,170.95,591.66,2018,0.05,0.33,0.33,233300.0,780155.0,22795.0,8,0,0,0,1,10.671246673128348,8.997944680004672,1.673301993123676,195900.0,815.0,1061.0,0.4579512333830952,6.1,0.33,0.47,4.1,59891.0,16.1,162911.0,0.052270210900967395,1
NC-507,wake county,2013,2.315976403005456,5.8,122.68,463.37,2013,0.06,0.0,0.0,224100.0,743315.0,10779.0,0,0,0,1,0,11.269756714896708,10.28442279446858,0.9853339204281276,230400.0,749.0,1159.0,0.4490041,8.2,0.0,0.34,7.3,63791.0,11.6,506466.0,0.03953755794203473,1
NC-507,wake county,2014,2.2570862996686043,4.8,129.03,487.36,2014,0.06,0.0,0.0,237400.0,767361.0,10972.0,0,0,0,1,0,11.715335374004573,10.473710086503234,1.2416252875013394,229000.0,773.0,1150.0,0.442379857,7.6,0.0,0.35,5.8,65160.0,10.7,512481.0,-0.2465927737029614,0
NC-507,wake county,2015,2.2171309857481885,4.7,134.76,509.03,2015,0.06,0.0,0.0,252500.0,791338.0,10957.0,8,0,0,1,0,8.826418329268364,7.381385239963366,1.4450330893049976,229200.0,793.0,1154.0,0.44564791,6.8,0.0,0.35,4.8,66634.0,11.6,523736.0,-0.11466258831679454,0
NC-507,wake county,2016,2.1446093583853054,4.3,143.57,542.29,2016,0.07,0.0,0.0,268400.0,808772.0,10813.0,26,0,0,1,0,7.814358358067656,6.496043622843528,1.3183147352241278,234000.0,810.0,1142.0,0.4446605659149213,5.8,0.0,0.36,4.7,70533.0,11.2,539009.0,0.05507157647665939,1
NC-507,wake county,2017,2.035236609764093,3.9,153.65,580.36,2017,0.07,0.25,0.26,276000.0,832827.0,10521.0,56,0,0,1,0,8.244707392,6.491308082517956,1.7533993096456546,241600.0,852.0,1154.0,0.4350572733069013,5.4,0.0,0.37,4.3,76097.0,9.1,554963.0,0.09152666409939525,1
NC-507,wake county,2018,1.93606758,3.5,163.04,615.82,2018,0.07,0.26,0.26,301900.0,853276.0,10467.0,33,0,0,1,0,8.999317956065385,7.2415671447077505,1.7577508113576337,250700.0,891.0,1182.0,0.4284620823887038,5.5,0.26,0.36,3.9,77318.0,8.9,565217.0,-0.03049354957209216,0
NC-511,cumberland county,2013,2.7993819659039616,9.4,124.84,227.73,2013,0.02,0.0,0.0,130800.0,780155.0,22795.0,0,0,0,0,1,19.363490460949272,8.807166025820033,10.556324435129238,126300.0,655.0,924.0,0.4392807904411764,8.4,0.0,0.44,10.8,45020.0,16.4,133635.0,0.033416035263985844,1
NC-511,cumberland county,2014,2.7993819659039616,7.8,122.87,224.14,2014,0.03,0.0,0.0,124100.0,780155.0,22795.0,0,0,0,0,1,20.010541541026207,8.212595915765732,11.797945625260477,128700.0,664.0,920.0,0.4515958320407306,8.5,0.0,0.45,9.4,43609.0,17.5,130999.0,-0.08490108022646103,0
NC-511,cumberland county,2015,2.7993819659039616,7.2,122.9,224.2,2015,0.02,0.0,0.0,128600.0,780155.0,22795.0,13,0,0,0,1,18.31162494827661,7.009677678345346,11.301947269931262,128600.0,681.0,916.0,0.4611799597500264,8.8,0.0,0.46,7.8,42248.0,17.3,127501.0,-0.14026629435723448,0
NC-511,cumberland county,2016,2.7993819659039616,6.4,123.33,224.98,2016,0.02,0.0,0.0,134300.0,780155.0,22795.0,8,0,0,0,1,15.743121173122365,6.847493481125067,8.895627691997298,129300.0,678.0,908.0,0.4711092003439381,8.8,0.0,0.47,7.2,42107.0,18.9,126103.0,-0.155733216614926,0
NC-511,cumberland county,2017,2.7993819659039616,5.7,122.38,223.23,2017,0.03,0.34,0.32,136500.0,780155.0,22795.0,24,0,0,0,1,13.291394273273472,5.683424248073951,7.6079700251995215,129000.0,687.0,904.0,0.4686651259299246,8.7,0.0,0.48,6.4,45205.0,19.0,126947.0,-0.15782401862184336,0
NC-511,cumberland county,2018,2.7993819659039616,5.2,125.76,229.41,2018,0.03,0.33,0.32,138700.0,780155.0,22795.0,33,0,0,0,1,11.193693015978097,4.423314175668763,6.770378840309332,131200.0,693.0,910.0,0.4792100644611019,8.0,0.32,0.49,5.7,43759.0,18.6,125896.0,-0.12397130702100934,0
NC-513,orange county,2013,2.7993819659039616,5.2,132.86,568.63,2013,0.07,0.01,0.01,270700.0,780155.0,22795.0,0,0,0,0,1,8.763679890560875,6.626196990424076,2.1374829001367988,272900.0,732.0,1033.0,0.5022239601153526,8.5,0.01,0.4,6.3,51095.0,17.4,72628.0,-0.12237642473865351,0
NC-513,orange county,2014,2.7993819659039616,4.5,135.97,581.94,2014,0.08,0.01,0.01,281400.0,780155.0,22795.0,0,0,0,0,1,7.691212078,7.0502777382139294,0.64093434,272600.0,744.0,1056.0,0.4965262379896526,7.9,0.01,0.39,5.2,59409.0,16.0,72832.0,0.1865521236754053,1
NC-513,orange county,2015,2.7993819659039616,4.6,140.12,599.71,2015,0.08,0.01,0.01,278200.0,780155.0,22795.0,11,0,0,0,1,9.126024024788828,7.711136579085134,1.4148874457036942,272700.0,783.0,1089.0,0.4852169649423878,7.1,0.01,0.4,4.5,59658.0,14.1,72720.0,-0.38177808017215353,0
NC-513,orange county,2016,2.7993819659039616,4.2,144.31,617.66,2016,0.08,0.01,0.01,304000.0,780155.0,22795.0,1,0,0,0,1,5.641908093,4.584050325820193,1.0578577674969676,272600.0,796.0,1083.0,0.4643048323519392,5.8,0.01,0.4,4.6,61164.0,14.7,73308.0,0.5530000828767547,1
NC-513,orange county,2017,2.7993819659039616,3.8,151.72,649.36,2017,0.08,0.27,0.28,279700.0,780155.0,22795.0,9,0,0,0,1,8.761883736012033,6.209208946780181,2.5526747892318515,281700.0,838.0,1111.0,0.4629795714997509,5.9,0.01,0.39,4.2,66423.0,12.8,74699.0,0.1879904207122951,1
NC-513,orange county,2018,2.7993819659039616,3.3,159.36,682.05,2018,0.08,0.28,0.28,327300.0,780155.0,22795.0,12,0,0,0,1,10.40903394577715,7.738294972847487,2.670738972929664,283000.0,881.0,1144.0,0.4497739829231542,5.1,0.28,0.38,3.8,69940.0,14.1,75573.0,-0.15237333235497208,0
NJ-500,atlantic county,2013,2.7993819659039616,11.9,150.49,619.36,2013,0.08,0.0,0.0,218600.0,780155.0,22795.0,0,0,1,0,0,27.04250676062669,24.86750621687656,2.175000543750136,248100.0,881.0,1312.0,0.5598254412818342,9.3,0.0,0.3,12.8,51191.0,14.6,139916.0,-0.2690472228676275,0
NJ-500,atlantic county,2014,2.7993819659039616,10.5,149.43,614.97,2014,0.08,0.0,0.0,217000.0,780155.0,22795.0,0,0,1,0,0,19.766795417301037,17.295945990138403,2.470849427162629,237400.0,887.0,1308.0,0.5599962706280884,9.2,0.0,0.32,11.9,52127.0,18.0,136717.0,0.01098974002173514,1
NJ-500,atlantic county,2015,2.7993819659039616,9.5,147.53,607.15,2015,0.08,0.0,0.0,223400.0,780155.0,22795.0,1,0,1,0,0,19.98402736,17.285454326651326,2.6985730383379707,230200.0,893.0,1319.0,0.5698595772019457,7.7,0.0,0.32,10.5,55313.0,15.5,131389.0,-0.1210400849591321,0
NJ-500,atlantic county,2016,2.7993819659039616,7.4,146.38,602.44,2016,0.08,0.0,0.0,215100.0,780155.0,22795.0,5,0,1,0,0,17.56515899051998,13.284574026443682,4.280584964076298,225600.0,893.0,1318.0,0.5707530335474661,7.0,0.0,0.33,9.5,54052.0,14.3,125948.0,-0.10992107406911811,0
NJ-500,atlantic county,2017,2.7993819659039616,7.1,143.8,591.83,2017,0.09,0.29,0.28,211600.0,780155.0,22795.0,9,0,1,0,0,15.634377848087198,11.596114375476995,4.038263473,222200.0,908.0,1322.0,0.5842294983478522,7.2,0.0,0.33,7.4,56778.0,14.4,122552.0,0.05305841376097242,1
NJ-500,atlantic county,2018,2.7993819659039616,5.7,150.5,619.4,2018,0.08,0.28,0.28,219300.0,780155.0,22795.0,10,0,1,0,0,16.46391313684639,11.528506681636143,4.935406455210244,219000.0,918.0,1355.0,0.577754076,6.8,0.28,0.33,7.1,61777.0,14.8,122393.0,-0.17761641931757344,0
NJ-501,bergen county,2013,1.8396127244597065,6.8,149.19,831.45,2013,0.16,0.0,0.0,435100.0,742004.0,6818.0,0,0,1,0,0,3.7392146352428544,3.544689018380509,0.194525616862345,461400.0,1191.0,1776.0,0.4714261698946232,4.6,0.0,0.34,7.7,82729.0,8.1,484198.0,0.06278568716453825,1
NJ-501,bergen county,2014,1.8219933779597404,5.4,154.17,859.2,2014,0.16,0.0,0.0,434400.0,750826.0,6941.0,0,0,1,0,0,3.973983795572275,3.620502757,0.3534810384201754,451400.0,1199.0,1791.0,0.4812051575335344,4.4,0.0,0.34,6.8,81670.0,8.2,479782.0,-0.08837595484887861,0
NJ-501,bergen county,2015,1.779930997105051,4.6,158.16,881.47,2015,0.16,0.0,0.0,451100.0,756490.0,7032.0,0,0,1,0,0,3.622779183084605,3.2711564976675693,0.3516226854170352,443500.0,1209.0,1780.0,0.4835544955556119,4.0,0.0,0.35,5.4,84677.0,7.7,478861.0,-0.1300096764493237,0
NJ-501,bergen county,2016,1.7495167372635183,4.1,162.43,905.28,2016,0.16,0.0,0.0,462800.0,757352.0,6994.0,2,0,1,0,0,3.1517828336444302,3.034655768880617,0.1171270647638132,441100.0,1220.0,1775.0,0.47512834,3.8,0.0,0.35,4.6,89023.0,7.1,480417.0,0.01031398430059971,1
NJ-501,bergen county,2017,1.6844869140382617,3.8,166.99,930.65,2017,0.17,0.24,0.24,470300.0,765515.0,7040.0,5,0,1,0,0,3.1842902723095383,3.13157023468852,0.052720038,443400.0,1251.0,1794.0,0.4696037907047081,3.5,0.0,0.35,4.1,93683.0,6.9,481085.0,0.18684444338612738,1
NJ-501,bergen county,2018,1.6510848287758988,3.3,172.63,962.08,2018,0.17,0.25,0.24,476200.0,757078.0,6994.0,11,0,1,0,0,3.779257215819074,3.533712255469247,0.2455449603498268,451200.0,1293.0,1824.0,0.465132398,3.6,0.24,0.35,3.8,94107.0,6.6,493155.0,-0.23077602891456417,0
NJ-502,burlington county,2013,2.7993819659039616,7.9,142.98,572.24,2013,0.05,0.0,0.0,244500.0,780155.0,22795.0,0,0,1,0,0,14.88339492234461,13.951796432421402,0.9315984899232096,259800.0,985.0,1576.0,0.4950903968709827,5.9,0.0,0.22,8.7,74693.0,6.3,234806.0,0.5238914511127923,1
NJ-502,burlington county,2014,2.7993819659039616,6.4,145.64,582.89,2014,0.04,0.0,0.0,241000.0,780155.0,22795.0,0,0,1,0,0,22.680678285696494,22.21372314452039,0.4669551411761043,252500.0,1014.0,1575.0,0.4985125139878272,5.9,0.0,0.22,7.9,77398.0,5.7,231183.0,0.3191099189139259,1
NJ-502,burlington county,2015,2.7993819659039616,5.3,148.26,593.39,2015,0.05,0.0,0.0,246300.0,780155.0,22795.0,4,0,1,0,0,29.918307694357942,29.740619155712903,0.177688538645036,247800.0,1047.0,1570.0,0.5053118528280574,5.9,0.0,0.23,6.4,80896.0,7.1,228086.0,-0.31110503650030974,0
NJ-502,burlington county,2016,2.7993819659039616,4.4,150.02,600.44,2016,0.05,0.0,0.0,248600.0,780155.0,22795.0,14,0,1,0,0,20.610571487077216,20.32122221134071,0.2893492757365052,245000.0,1058.0,1541.0,0.503973783,5.3,0.0,0.24,5.3,74800.0,7.9,229501.0,-0.3467318152626596,0
NJ-502,burlington county,2017,2.7993819659039616,4.0,152.62,610.85,2017,0.05,0.23,0.25,244400.0,780155.0,22795.0,13,0,1,0,0,13.46423062176212,12.483392629448325,0.9808379923137968,245000.0,1083.0,1537.0,0.4865621069384193,5.2,0.0,0.24,4.4,80254.0,5.8,230266.0,0.400758068965386,1
NJ-502,burlington county,2018,2.7993819659039616,3.6,155.73,623.27,2018,0.05,0.25,0.25,251400.0,780155.0,22795.0,64,0,1,0,0,18.860129685844125,17.60278770678785,1.257341979056275,245300.0,1121.0,1556.0,0.4786469997683218,5.0,0.25,0.24,4.0,87673.0,6.3,237560.0,-0.3832848694694124,0
NJ-503,gloucester county,2012,2.7993819659039616,10.2,138.97,520.6,2012,0.03,0.0,0.0,217700.0,780155.0,22795.0,0,0,1,0,0,25.17285621248932,21.40960195299247,3.763254259496855,218700.0,819.0,1326.0,0.5376336773381846,4.4,0.0,0.31,10.8,59280.0,12.7,261173.0,0.7668475358723927,1
NJ-503,camden county,2013,4.199800509,9.6,144.41,457.92,2013,0.06,0.0,0.0,189900.0,400019.0,14703.0,0,0,1,0,0,44.47659896990681,37.82750245465351,6.649096515253303,232400.0,880.0,1527.0,0.5335617118458942,6.3,0.0,0.19,10.2,72930.0,8.7,151184.0,-0.25426429443375653,0
NJ-503,gloucester county,2013,2.7993819659039616,9.2,139.55,522.76,2013,0.03,0.0,0.0,207900.0,780155.0,22795.0,0,0,1,0,0,33.16778791401031,31.17185023422916,1.9959376797811512,210700.0,835.0,1322.0,0.5399774869373835,3.7,0.0,0.32,9.6,58006.0,15.0,256195.0,0.7564400878498441,1
NJ-503,camden county,2014,2.7993819659039616,7.7,146.79,465.47,2014,0.06,0.0,0.0,194300.0,780155.0,22795.0,0,0,1,0,0,58.25723231746927,54.751487363851645,3.5057449536176195,224700.0,893.0,1503.0,0.525647883,6.5,0.0,0.2,9.2,71355.0,9.8,149195.0,-0.6341335572464472,0
NJ-503,gloucester county,2014,2.7993819659039616,7.3,142.44,533.59,2014,0.03,0.0,0.0,209600.0,780155.0,22795.0,0,0,1,0,0,21.3143663526598,18.672089532082133,2.6422768205776603,202900.0,843.0,1324.0,0.5425813714777656,4.1,0.0,0.32,7.7,62330.0,13.1,251204.0,0.7528638426782024,1
NJ-503,camden county,2015,2.7993819659039616,6.4,148.43,470.67,2015,0.06,0.0,0.0,193800.0,780155.0,22795.0,5,0,1,0,0,37.36118210917424,32.72963060803694,4.631551501137303,219000.0,895.0,1502.0,0.5200038147918554,7.1,0.0,0.2,7.3,79704.0,8.0,147162.0,-0.43965854584442676,0
NJ-503,gloucester county,2015,2.7993819659039616,6.0,143.46,537.4,2015,0.03,0.0,0.0,211800.0,780155.0,22795.0,5,0,1,0,0,20.93501911202588,16.250122512986376,4.684896599039498,196800.0,837.0,1304.0,0.5337505587840858,4.6,0.0,0.32,6.4,65025.0,13.2,251923.0,0.7451168200321554,1
NJ-503,camden county,2016,2.7993819659039616,5.5,151.68,480.99,2016,0.06,0.0,0.0,197400.0,780155.0,22795.0,25,0,1,0,0,36.534053980091,28.35836212499572,8.175691855095268,214500.0,914.0,1487.0,0.536150235,7.6,0.0,0.2,6.0,77565.0,7.2,147894.0,-0.4972837112000428,0
NJ-503,gloucester county,2016,2.7993819659039616,5.0,145.04,543.35,2016,0.03,0.0,0.0,218600.0,780155.0,22795.0,25,0,1,0,0,18.366264031688655,15.879573699039982,2.486690332648678,193500.0,847.0,1305.0,0.5266497253873268,5.1,0.0,0.33,5.5,66362.0,11.8,252694.0,0.7478046309795148,1
NJ-503,camden county,2017,2.7993819659039616,5.0,155.34,492.58,2017,0.06,0.29,0.28,197900.0,780155.0,22795.0,25,0,1,0,0,32.100641328377925,27.754392449162577,4.346248879215348,213200.0,935.0,1482.0,0.5229680344173567,6.8,0.0,0.21,5.0,79879.0,7.6,148964.0,-0.38627048381575235,0
NJ-503,gloucester county,2017,2.7993819659039616,4.6,147.96,554.27,2017,0.03,0.23,0.23,222100.0,780155.0,22795.0,25,0,1,0,0,19.701111071669448,16.84159044565136,2.859520626018088,193500.0,866.0,1319.0,0.5164344235855751,4.6,0.28,0.33,5.0,66196.0,11.5,261271.0,0.7400963597430408,1
NJ-503,camden county,2018,4.073856609,4.5,161.17,511.08,2018,0.06,0.29,0.28,198600.0,400235.0,15006.0,17,0,1,0,0,34.28183165870532,29.305990226761104,4.975841431944216,213800.0,959.0,1501.0,0.5244866457738903,6.3,0.23,0.2,4.6,86496.0,6.2,153908.0,-0.4361493431884431,0
NJ-503,gloucester county,2018,2.7993819659039616,4.1,150.02,562.0,2018,0.03,0.26,0.24,221600.0,780155.0,22795.0,17,0,1,0,0,19.32983329746422,15.005795001095818,4.324038296,195800.0,891.0,1346.0,0.5200263166340383,5.3,0.28,0.33,4.5,67523.0,13.3,259031.0,0.7366545967265934,1
NJ-504,essex county,2013,2.917335051,9.9,155.94,837.53,2013,0.05,0.0,0.0,340800.0,608432.0,24878.0,0,0,1,0,0,20.84692203935078,18.769828956450706,2.077093082900078,376900.0,903.0,1347.0,0.52657765,9.3,0.0,0.54,10.8,51009.0,17.5,383758.0,-0.10600045569567962,0
NJ-504,essex county,2014,2.906470133148744,8.0,163.61,878.73,2014,0.05,0.0,0.0,348000.0,613975.0,25240.0,0,0,1,0,0,18.63713880332729,15.834656029799314,2.802482773527974,364800.0,917.0,1363.0,0.5315889470350988,9.6,0.0,0.54,9.9,53610.0,17.8,379043.0,0.08330784375916123,1
NJ-504,essex county,2015,2.893674731121598,6.8,168.89,907.04,2015,0.05,0.0,0.0,375900.0,614962.0,25210.0,0,0,1,0,0,20.18975865087268,18.158242563020888,2.0315160878517844,358100.0,927.0,1365.0,0.5356732517907205,9.3,0.0,0.55,8.0,54754.0,16.8,374663.0,0.1056899552134154,1
NJ-504,essex county,2016,2.833726545,6.0,173.95,934.25,2016,0.05,0.0,0.0,373000.0,615444.0,24812.0,48,0,1,0,0,22.32361333845308,16.764669713419515,5.558943625033566,356600.0,931.0,1357.0,0.54089135,9.0,0.0,0.55,6.8,52041.0,17.1,372205.0,0.13501327592811752,1
NJ-504,essex county,2017,2.7377726395194166,5.5,180.53,969.57,2017,0.05,0.29,0.3,379400.0,626239.0,24487.0,13,0,1,0,0,25.33759750583025,20.04243552707275,5.295161978757493,356300.0,942.0,1363.0,0.5368677167370982,8.3,0.0,0.56,6.0,54277.0,16.4,370183.0,0.09947731505316537,1
NJ-504,essex county,2018,2.6712914122868097,5.0,186.06,999.26,2018,0.06,0.3,0.31,393000.0,618989.0,24015.0,8,0,1,0,0,27.85811367560802,22.906671568094207,4.951442107513813,362300.0,969.0,1397.0,0.5329924425148738,7.7,0.3,0.55,5.5,60430.0,15.8,381339.0,0.004136215706805446,1
NJ-506,hudson county,2013,2.7993819659039616,8.0,161.14,753.85,2013,0.15,0.0,0.0,325900.0,780155.0,22795.0,0,0,1,0,0,14.266631530164384,9.950293965305733,4.316337564858651,360400.0,1017.0,1322.0,0.4485592907277428,6.8,0.0,0.67,8.9,57539.0,16.6,360326.0,-0.1399554530889765,0
NJ-506,hudson county,2014,2.7993819659039616,6.3,169.41,792.57,2014,0.15,0.0,0.0,340900.0,780155.0,22795.0,0,0,1,0,0,12.269938650306749,9.789049715,2.4808889353848,347200.0,1044.0,1339.0,0.4576399072659896,6.7,0.0,0.67,8.0,56079.0,19.7,358402.0,0.10746166476003083,1
NJ-506,hudson county,2015,2.7993819659039616,5.3,179.54,839.97,2015,0.15,0.0,0.0,342800.0,780155.0,22795.0,5,0,1,0,0,13.588486684172157,11.084174525366162,2.504312158805992,337900.0,1066.0,1350.0,0.4612641776514224,6.3,0.0,0.68,6.3,58479.0,17.8,358235.0,-0.10016137078971987,0
NJ-506,hudson county,2016,2.7993819659039616,4.6,195.97,916.83,2016,0.15,0.0,0.0,370200.0,780155.0,22795.0,7,0,1,0,0,12.227445230927618,8.894028316344215,3.3334169145834043,335300.0,1084.0,1364.0,0.4592262165077699,5.3,0.0,0.69,5.3,60530.0,17.9,359627.0,-0.02802721389032048,0
NJ-506,hudson county,2017,2.7993819659039616,4.3,211.28,988.45,2017,0.16,0.29,0.28,377800.0,780155.0,22795.0,7,0,1,0,0,11.88474400810823,9.224412016025608,2.6603319920826207,341300.0,1118.0,1388.0,0.4590895003271462,5.0,0.0,0.69,4.6,63808.0,15.6,360852.0,0.07034241583269485,1
NJ-506,hudson county,2018,2.7993819659039616,3.7,230.63,1078.95,2018,0.16,0.29,0.28,405200.0,780155.0,22795.0,12,0,1,0,0,12.720745613191708,9.126395399231724,3.5943502139599826,349500.0,1147.0,1424.0,0.458149576,5.1,0.28,0.69,4.3,67154.0,14.0,373664.0,0.04053225467892063,1
NJ-507,middlesex county,2013,2.492958818603943,7.7,151.69,594.84,2013,0.23,0.0,0.0,312900.0,656850.0,8344.0,0,0,1,0,0,12.437885969557945,9.506357075,2.9315288948618625,340000.0,1131.0,1580.0,0.4479117684777497,5.1,0.0,0.33,8.7,77478.0,9.9,429328.0,-0.22897713303735423,0
NJ-507,middlesex county,2014,2.4994018589771563,6.1,157.31,616.89,2014,0.24,0.0,0.0,320900.0,664559.0,8352.0,0,0,1,0,0,9.589894499203034,8.370232106536315,1.219662393,330000.0,1144.0,1578.0,0.4600195565088477,5.1,0.0,0.34,7.7,76848.0,9.5,429073.0,-0.2510052790886361,0
NJ-507,middlesex county,2015,2.4719339502834248,5.1,162.05,635.48,2015,0.24,0.0,0.0,332900.0,669314.0,8527.0,21,0,1,0,0,7.182780354,6.278986799857297,0.9037935545249138,325000.0,1166.0,1574.0,0.463439941,4.7,0.0,0.35,6.1,77682.0,8.2,431888.0,-0.23991829361830896,0
NJ-507,middlesex county,2016,2.4236475971372444,4.4,165.61,649.46,2016,0.24,0.0,0.0,333200.0,666351.0,8452.0,9,0,1,0,0,5.459499948033207,4.4560032398608005,1.0034967081724055,323300.0,1176.0,1553.0,0.4667381335239116,4.6,0.0,0.36,5.1,78643.0,8.5,435590.0,0.18663261303160628,1
NJ-507,middlesex county,2017,2.3573138353162,4.0,169.89,666.22,2017,0.25,0.22,0.23,340700.0,673436.0,8475.0,10,0,1,0,0,6.478420689180563,4.995265769496369,1.4831549196841949,324500.0,1204.0,1567.0,0.4602234473337561,4.0,0.0,0.36,4.4,82375.0,8.6,437399.0,0.11068765864757979,1
NJ-507,middlesex county,2018,2.306893826,3.5,175.94,689.95,2018,0.24,0.23,0.22,352300.0,662796.0,8489.0,16,0,1,0,0,7.195501907,5.616589428518052,1.578912478832328,329000.0,1243.0,1598.0,0.4635369276933501,3.8,0.23,0.36,4.0,85337.0,8.6,452028.0,0.044345047738595156,1
NJ-508,monmouth county,2013,2.7993819659039616,7.7,154.09,772.55,2013,0.05,0.0,0.0,380600.0,780155.0,22795.0,0,0,1,0,0,14.579018917785769,14.007292685715736,0.5717262320700301,399000.0,1077.0,1841.0,0.5450639260597345,5.8,0.0,0.24,8.8,81308.0,7.2,329833.0,-0.3590771021098147,0
NJ-508,monmouth county,2014,2.7993819659039616,6.1,160.67,805.54,2014,0.05,0.0,0.0,387900.0,780155.0,22795.0,0,0,1,0,0,9.344027053183089,9.153332623526287,0.1906944296567977,389900.0,1088.0,1813.0,0.5459533134348958,5.4,0.0,0.25,7.7,83749.0,7.7,326499.0,-0.22379411066335997,0
NJ-508,monmouth county,2015,2.7993819659039616,5.1,164.71,825.83,2015,0.05,0.0,0.0,396000.0,780155.0,22795.0,8,0,1,0,0,7.252888828801603,6.680292342317266,0.572596486,386900.0,1115.0,1796.0,0.5459044455366676,5.6,0.0,0.25,6.1,88413.0,8.2,325472.0,-0.24215578284462214,0
