CoC Number,County,Year,HPI,SummerTemperature,Median_House_Values_5_year,Median_House_Values_1_year,Overall Homeless,Unsheltered Homeless,Median_Gross_Rent_5_year,Median_Gross_Rent_1_year,Overall Homeless - Multiple Races,Sheltered Total Homeless,Overall Homeless - Native Hawaiian or Other Pacific Islander,Median_Rent_1_year,Overall Homeless - Age 18 to 24,Median_Rent_5_year,SSDI Participation Rate (Percent),Estimate Total  85 years and over,Overall Homeless - American Indian or Alaska Native,Estimate Total Native Hawaiian and Other Pacific Islander alone,Estimate Total Some other race alone,JanuaryPrecipitation,Estimate Total Two or more races,Estimate Total Asian alone,Overall Homeless - Asian,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Estimate Total  62 to 64 years,Estimate Total Black or African American alone,Estimate Total  60 and 61 years,CoC_Category_Largely Rural CoC,CoC_Category_Largely Suburban CoC,CoC_Category_Major City CoC,CoC_Category_Other Largely Urban CoC,total_homeless_per_10k,SSDI Participation Rate (Percent)_missing,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over_missing
CA-614,san luis obispo county,2012,1173.2,70.9,449300,410900.0,2129,1901,1382.0,1319.0,0,228,0,1087.0,0,1101,2.826930578893613,0.028609482,0,0.0,0.06,0.94,0.04,0.04,0,779747.0,0.044227886,0.02,0.027801633,False,True,False,False,85.26169951852641,1,1
CA-614,san luis obispo county,2013,1277.69,72.1,426600,436000.0,2357,2122,1355.0,1275.0,0,235,0,1078.0,0,1104,2.826930578893613,0.021447459,0,0.0,0.04,0.01,0.03,0.04,0,779747.0,0.037248185,0.02,0.028002156,False,True,False,False,84.77764679324788,1,1
CA-614,san luis obispo county,2014,1430.99,72.2,426200,459900.0,2366,2122,1355.0,1356.0,0,244,0,1136.0,219,1124,2.826930578893613,0.019789812,0,0.0,0.03,0.35,0.03,0.04,0,779747.0,0.03550915,0.02,0.029700842,False,True,False,False,53.83776177,1,1
CA-614,san luis obispo county,2015,1500.26,72.1,445700,508200.0,1515,1123,1360.0,1387.0,207,392,3,1169.0,415,1137,2.826930578893613,0.02543701,36,0.0,0.06,5.29,0.03,0.04,7,779747.0,0.044058123,0.02,0.029317593,False,True,False,False,48.35853185194088,1,1
CA-614,san luis obispo county,2016,1619.47,72.3,471800,547200.0,1368,1123,1380.0,1426.0,217,245,3,1218.0,406,1151,2.826930578893613,0.023673764,44,0.0,0.06,10.07,0.03,0.04,8,779747.0,0.042405625,0.02,0.028262168,False,True,False,False,39.69584164005575,1,1
CA-614,san luis obispo county,2017,1706.19,74.2,499800,574400.0,1125,822,1443.0,1508.0,54,303,11,1312.0,187,1213,2.826930578893613,0.021531025,79,0.0,0.03,2.47,0.04,0.04,15,779747.0,0.042398687,0.02,0.029184383,False,True,False,False,38.55498045843456,1,1
CA-614,san luis obispo county,2018,1789.54,73.0,537900,593100.0,1095,822,1512.0,1573.0,55,273,11,1291.0,187,1271,2.826930578893613,0.022897081,78,0.0,0.02,5.58,0.04,0.04,16,779747.0,0.044019577,0.02,0.026692722,False,True,False,False,52.38228115474143,1,1
FL-501,hillsborough county,2010,446.49,83.6,198900,165100.0,7473,6747,1211.0,1023.0,0,726,0,756.0,0,769,2.826930578893613,0.01592095,0,0.0,0.03,5.44,0.03,0.03,0,779747.0,0.029681176,0.17,0.022593581,False,True,False,False,57.86515746090592,1,1
FL-501,hillsborough county,2011,421.58,82.8,185900,151200.0,7336,6447,1095.0,1015.0,0,889,0,766.0,0,791,2.826930578893613,0.016532113,0,0.0,0.04,1.13,0.03,0.03,0,779747.0,0.03213504,0.17,0.02074264,False,True,False,False,58.06318313655453,1,1
FL-501,hillsborough county,2012,418.76,81.6,170000,147500.0,7419,6447,1078.0,993.0,0,972,0,784.0,0,801,3.5608279049383453,0.015866221,0,0.0,0.04,0.53,0.03,0.03,0,1003980.0,0.030014573,0.17,0.021840804,False,True,False,False,14.780369439553786,0,0
FL-501,hillsborough county,2013,449.0,82.1,160000,152900.0,1909,944,1062.0,984.0,0,965,0,821.0,0,812,3.6388439923486406,0.015643655,0,0.0,0.05,2.97,0.03,0.04,0,1011585.0,0.030391506,0.16,0.022855762,False,True,False,False,14.768692195840153,0,0
FL-501,hillsborough county,2014,494.99,82.2,156700,164200.0,1944,1091,1039.0,978.0,0,853,0,837.0,266,820,3.640431570333312,0.018154704,0,0.0,0.06,2.13,0.03,0.04,0,1033806.0,0.030448272,0.16,0.023329064,False,True,False,False,14.313776361143027,0,0
FL-501,hillsborough county,2015,534.65,82.4,159200,183000.0,1931,756,1021.0,1017.0,117,1175,6,865.0,140,831,3.586560373058872,0.017501205,18,0.0,0.06,7.01,0.03,0.04,16,1060208.0,0.029791335,0.17,0.025598755,False,True,False,False,13.202658261143783,0,0
FL-501,hillsborough county,2016,583.67,83.1,167400,195800.0,1817,769,1033.0,1076.0,56,1048,6,931.0,107,858,3.4523908255697155,0.015870075,29,0.0,0.05,1.45,0.03,0.04,17,1085190.0,0.03122643,0.17,0.025467252,False,True,False,False,10.996999785597552,0,0
FL-501,hillsborough county,2017,640.89,82.6,179500,213600.0,1549,567,1063.0,1101.0,39,982,1,958.0,86,890,3.325389198193736,0.016009899,29,0.0,0.03,3.84,0.03,0.04,4,1112351.0,0.032693534,0.17,0.026362982,False,True,False,False,12.492274972022871,0,0
FL-501,hillsborough county,2018,696.34,82.8,198000,232500.0,1795,640,1104.0,1148.0,4,1155,9,1021.0,95,945,3.191361738,0.016872575,31,0.0,0.05,4.11,0.04,0.04,5,1141989.0,0.032925322,0.17,0.024116006,False,True,False,False,11.20948281,0,0
FL-502,pinellas county,2010,432.89,84.1,185700,154600.0,3948,2157,1211.0,967.0,0,1791,0,761.0,0,754,2.826930578893613,0.035342346,0,0.0,0.01,5.81,0.02,0.03,0,779747.0,0.045056337,0.1,0.029888112,False,False,False,True,42.40253412368459,1,1
FL-502,pinellas county,2011,398.43,83.4,172900,143600.0,3890,2020,993.0,942.0,0,1870,0,757.0,0,772,2.826930578893613,0.033625537,0,0.0,0.01,1.68,0.02,0.03,0,779747.0,0.040406672,0.1,0.032508246,False,False,False,True,43.101249404386536,1,1
FL-502,pinellas county,2012,401.22,82.2,161600,142200.0,3971,2020,988.0,918.0,0,1951,0,757.0,0,787,4.272722436528728,0.038048711,0,0.0,0.01,0.83,0.02,0.03,0,770703.0,0.04463492,0.1,0.027674454,False,False,False,True,42.11838354961208,0,0
FL-502,pinellas county,2013,435.03,82.9,151500,138000.0,3913,2087,972.0,899.0,0,1826,0,790.0,0,793,4.349995423093138,0.033125307,0,0.0,0.01,3.65,0.03,0.03,0,775633.0,0.042058107,0.1,0.029458112,False,False,False,True,36.14760931160711,0,0
FL-502,pinellas county,2014,486.2,83.1,146500,150900.0,3391,1178,964.0,927.0,0,2213,0,811.0,154,795,4.338108883,0.036577202,0,0.0,0.01,1.99,0.03,0.03,0,785250.0,0.042002008,0.1,0.030901889,False,False,False,True,35.65912529334289,0,0
FL-502,pinellas county,2015,529.07,83.0,150200,170500.0,3387,1172,946.0,954.0,99,2215,4,836.0,158,800,4.235792004206994,0.038020608,31,0.0,0.01,5.92,0.03,0.03,8,798670.0,0.04431228,0.1,0.030803504,False,False,False,True,28.905103410947923,0,0
FL-502,pinellas county,2016,587.04,83.9,157500,186500.0,2777,1139,952.0,954.0,93,1638,9,850.0,130,819,4.112305939764345,0.036739771,31,0.0,0.02,1.16,0.03,0.03,8,810251.0,0.049124104,0.1,0.031455248,False,False,False,True,29.16641339656329,0,0
FL-502,pinellas county,2017,645.15,83.5,167100,197300.0,2831,1152,970.0,975.0,106,1679,8,914.0,116,851,3.970737048968757,0.035707479,25,0.0,0.02,4.18,0.03,0.03,4,818236.0,0.045661766,0.1,0.031754405,False,False,False,True,26.78205233368879,0,0
FL-502,pinellas county,2018,704.37,83.4,183000,215800.0,2612,965,1005.0,1018.0,92,1647,9,963.0,129,897,3.8526603001364257,0.035935321,23,0.0,0.01,4.18,0.03,0.03,7,824625.0,0.04686244,0.1,0.034632106,False,False,False,True,24.769332387004663,0,0
FL-503,polk county,2010,358.26,83.5,141900,119100.0,820,377,1211.0,837.0,0,443,0,639.0,0,641,2.826930578893613,0.022629847,0,0.0,0.03,4.56,0.02,0.02,0,779747.0,0.030078568,0.15,0.026831987,False,True,False,False,18.04781687044293,1,1
FL-503,polk county,2011,320.16,82.9,133200,109700.0,1100,602,863.0,827.0,0,498,0,644.0,0,664,2.826930578893613,0.020392392,0,0.0,0.03,0.62,0.02,0.02,0,779747.0,0.038909452,0.15,0.026699284,False,True,False,False,14.298280635810944,1,1
FL-503,polk county,2012,314.48,81.6,120200,96900.0,881,584,863.0,792.0,0,297,0,662.0,0,665,4.744307873257118,0.022443919,0,0.0,0.01,0.48,0.02,0.02,0,479522.0,0.041067389,0.15,0.022997348,False,True,False,False,8.346588893579387,0,0
FL-503,polk county,2013,330.35,82.0,111400,101800.0,520,195,840.0,788.0,0,325,0,677.0,0,670,4.803464740349925,0.021383319,0,0.0,0.01,3.31,0.03,0.02,0,486732.0,0.038079707,0.15,0.024702693,False,True,False,False,8.44575963,0,0
FL-503,polk county,2014,363.18,82.3,107100,105400.0,536,288,834.0,809.0,0,248,0,714.0,24,682,4.798514474,0.02289179,0,0.0,0.02,2.35,0.02,0.02,0,499217.0,0.037545814,0.15,0.027275392,False,True,False,False,7.137451314583167,0,0
FL-503,polk county,2015,391.65,82.7,107300,123100.0,464,237,822.0,825.0,4,227,3,720.0,18,687,4.782872463257598,0.020177144,16,0.0,0.02,7.29,0.02,0.02,1,510990.0,0.0376116,0.15,0.024964159,False,True,False,False,9.53240191008318,0,0
FL-503,polk county,2016,426.35,83.5,110400,135300.0,635,260,823.0,826.0,63,375,2,719.0,28,707,4.704617502015856,0.020992301,10,0.0,0.01,1.77,0.02,0.02,0,524591.0,0.035553607,0.15,0.02499741,False,True,False,False,7.4583055953315665,0,0
FL-503,polk county,2017,468.74,82.8,121100,153700.0,512,149,839.0,854.0,35,363,1,762.0,33,725,4.624908488403614,0.020050023,7,0.0,0.02,2.43,0.03,0.02,1,542281.0,0.034156709,0.15,0.026879034,False,True,False,False,7.796511061300068,0,0
FL-503,polk county,2018,519.05,82.6,135400,161300.0,552,134,864.0,860.0,25,418,0,786.0,32,753,4.492277480624774,0.021176284,9,0.0,0.04,3.42,0.02,0.02,0,562187.0,0.033948721,0.15,0.025760972,False,True,False,False,7.767906542,0,0
FL-513,brevard county,2010,315.04,83.5,186900,149100.0,1221,219,1211.0,953.0,0,1002,0,735.0,0,759,2.826930578893613,0.026108729,0,0.0,0.01,4.43,0.02,0.02,0,779747.0,0.036289514,0.1,0.027043286,False,True,False,False,35.083136178495344,1,1
FL-513,brevard county,2011,287.08,82.4,171200,134700.0,1907,1217,997.0,903.0,0,690,0,727.0,0,762,2.826930578893613,0.023975009,0,0.0,0.02,0.04,0.03,0.02,0,779747.0,0.045869315,0.1,0.027520117,False,True,False,False,37.67538145866945,1,1
FL-513,brevard county,2012,286.76,81.1,157200,126000.0,2062,1319,978.0,876.0,0,743,0,734.0,0,750,4.403044123791997,0.028605518,0,0.0,0.01,1.29,0.02,0.02,0,449916.0,0.034750149,0.1,0.028267499,False,True,False,False,28.448340029374226,0,0
FL-513,brevard county,2013,306.61,81.3,144900,135900.0,1567,860,940.0,849.0,0,707,0,744.0,0,756,4.464940851,0.029061967,0,0.0,0.01,3.78,0.03,0.02,0,456557.0,0.043859824,0.1,0.029058336,False,True,False,False,26.52253158192445,0,0
FL-513,brevard county,2014,336.17,81.6,138500,149400.0,1477,860,915.0,867.0,0,617,0,781.0,92,763,4.517278264,0.031749823,0,0.0,0.01,2.82,0.03,0.02,0,460897.0,0.040789391,0.11,0.02950699,False,True,False,False,18.870315866555888,0,0
FL-513,brevard county,2015,377.7,81.9,142200,158800.0,1072,388,892.0,888.0,51,684,12,830.0,86,772,4.481561665737205,0.030595612,4,0.0,0.01,8.29,0.03,0.02,4,471599.0,0.044486066,0.1,0.028238583,False,True,False,False,14.280040750781346,0,0
FL-513,brevard county,2016,428.24,82.8,150500,175600.0,827,183,894.0,904.0,38,644,3,826.0,43,789,4.416429949,0.028047243,8,0.0,0.02,1.99,0.03,0.02,0,482290.0,0.044388997,0.1,0.031580129,False,True,False,False,14.342404975202069,0,0
FL-513,brevard county,2017,477.62,81.9,162400,195400.0,845,253,910.0,911.0,35,592,1,877.0,46,819,4.335274888,0.033498427,12,0.0,0.02,3.13,0.03,0.02,9,489127.0,0.040818994,0.1,0.034820644,False,True,False,False,12.297917898832036,0,0
FL-513,brevard county,2018,517.28,81.9,177400,221300.0,734,253,946.0,969.0,42,481,3,905.0,38,866,4.193098711059032,0.03455983,2,0.0,0.01,4.19,0.04,0.03,5,494980.0,0.048025548,0.1,0.035995704,False,True,False,False,13.539510451173037,0,0
FL-514,marion county,2010,248.13,83.1,150700,118100.0,576,194,1211.0,753.0,0,382,0,639.0,0,633,2.826930578893613,0.028063026,0,0.0,0.03,5.28,0.02,0.01,0,779747.0,0.047973075,0.12,0.029354946,False,True,False,False,31.03488718277203,1,1
FL-514,marion county,2011,218.38,82.5,142000,112400.0,1032,600,781.0,755.0,0,432,0,602.0,0,633,2.826930578893613,0.032255833,0,0.0,0.02,0.89,0.02,0.01,0,779747.0,0.05106923,0.13,0.032174637,False,True,False,False,27.18388660947408,1,1
FL-514,marion county,2012,209.76,80.9,130900,113200.0,911,600,773.0,703.0,0,311,0,607.0,0,631,2.826930578893613,0.024945916,0,0.0,0.02,0.35,0.02,0.02,0,779747.0,0.046642298,0.12,0.031632973,False,True,False,False,15.71012740024069,1,1
FL-514,marion county,2013,216.53,81.5,119400,107100.0,530,205,748.0,676.0,0,325,0,623.0,0,625,2.826930578893613,0.032505143,0,0.0,0.0,4.42,0.02,0.01,0,779747.0,0.038045186,0.13,0.023052389,False,True,False,False,27.066312465540573,1,1
FL-514,marion county,2014,231.54,81.3,111500,101300.0,918,644,735.0,693.0,0,274,0,629.0,174,632,2.826930578893613,0.032638789,0,0.0,0.02,3.9,0.03,0.01,0,779747.0,0.043886935,0.12,0.02904174,False,True,False,False,22.92762793732921,1,1
FL-514,marion county,2015,246.76,81.8,111000,120500.0,787,528,708.0,659.0,62,259,3,618.0,57,622,2.826930578893613,0.032008367,0,0.0,0.01,5.14,0.02,0.02,6,779747.0,0.040183071,0.13,0.0270412,False,True,False,False,23.580310583920696,1,1
FL-514,marion county,2016,264.38,83.0,114400,127000.0,823,528,701.0,688.0,58,295,3,682.0,54,639,2.826930578893613,0.034588276,3,0.0,0.01,3.69,0.03,0.01,3,779747.0,0.040155292,0.13,0.023792333,False,True,False,False,20.4598239608526,1,1
FL-514,marion county,2017,286.59,81.7,119200,137300.0,725,435,704.0,694.0,149,290,0,692.0,41,653,2.826930578893613,0.025401224,0,0.0,0.01,4.51,0.02,0.02,1,779747.0,0.04141915,0.13,0.029470613,False,True,False,False,15.889904077204932,1,1
FL-514,marion county,2018,310.85,81.5,127100,150600.0,572,271,717.0,725.0,21,301,0,713.0,38,673,2.826930578893613,0.033766046,3,0.0,0.02,4.3,0.03,0.01,1,779747.0,0.045016765,0.12,0.024498787,False,True,False,False,12.993087677355646,1,1
FL-519,pasco county,2010,247.08,82.9,157400,123900.0,4527,2853,1211.0,908.0,0,1674,0,717.0,0,705,2.826930578893613,0.029806054,0,0.0,0.01,5.76,0.02,0.02,0,779747.0,0.042069154,0.04,0.026079224,False,True,False,False,96.51479128837173,1,1
FL-519,pasco county,2011,222.0,82.3,145100,115400.0,4502,4159,908.0,820.0,0,343,0,707.0,0,726,2.826930578893613,0.03281117,0,0.0,0.01,1.2,0.02,0.02,0,779747.0,0.046220766,0.05,0.027593111,False,True,False,False,92.49751802224108,1,1
FL-519,pasco county,2012,213.9,81.0,131200,107500.0,4351,4159,892.0,816.0,0,192,0,734.0,0,730,2.826930578893613,0.027727996,0,0.0,0.01,0.68,0.03,0.02,0,779747.0,0.043699816,0.05,0.024524279,False,True,False,False,69.50549104,1,1
FL-519,pasco county,2013,224.16,82.0,120000,113700.0,3305,3200,876.0,793.0,0,105,0,727.0,0,740,2.826930578893613,0.032632881,0,0.0,0.01,3.21,0.03,0.02,0,779747.0,0.038645474,0.05,0.023118725,False,True,False,False,69.14868409394826,1,1
FL-519,pasco county,2014,244.29,81.8,115700,123900.0,3356,3200,862.0,836.0,0,156,0,776.0,464,750,2.826930578893613,0.029697258,0,0.0,0.01,2.24,0.02,0.02,0,779747.0,0.039871758,0.05,0.026048202,False,True,False,False,20.465587085190265,1,1
FL-519,pasco county,2015,263.36,82.0,117800,137700.0,1019,860,835.0,831.0,19,159,0,774.0,135,757,2.826930578893613,0.027719925,9,0.0,0.01,6.1,0.02,0.02,0,779747.0,0.038989052,0.06,0.026151365,False,True,False,False,20.590669206507823,1,1
FL-519,pasco county,2016,292.37,82.7,122100,145000.0,1055,860,839.0,864.0,20,195,0,816.0,137,773,5.158665308005845,0.024995706,13,0.0,0.01,1.69,0.02,0.03,4,416096.0,0.042090841,0.05,0.022643881,False,True,False,False,49.33005861392618,0,0
FL-519,pasco county,2017,324.95,82.1,134300,161500.0,2593,2415,864.0,902.0,50,178,39,847.0,784,796,5.049828735745598,0.026409559,15,0.0,0.01,4.2,0.03,0.03,12,425658.0,0.039951069,0.06,0.022534306,False,True,False,False,49.44128384263291,0,0
FL-519,pasco county,2018,363.3,82.2,149000,174500.0,2668,2415,898.0,900.0,63,253,36,897.0,782,833,4.928970565989301,0.025054204,11,0.0,0.02,3.89,0.03,0.03,11,436298.0,0.038498601,0.06,0.027142672,False,True,False,False,16.138728073263326,0,0
FL-600,miami-dade county,2010,516.53,84.2,269600,207100.0,3879,759,1211.0,1160.0,0,3120,0,893.0,0,877,2.826930578893613,0.017488771,0,0.0,0.04,3.01,0.01,0.02,0,779747.0,0.030927456,0.19,0.019886812,False,False,True,False,14.940702984148055,1,1
FL-600,miami-dade county,2011,486.97,83.2,246800,174700.0,3817,789,1242.0,1184.0,0,3028,0,922.0,0,913,2.826930578893613,0.020428485,0,0.0,0.03,0.16,0.01,0.02,0,779747.0,0.029969085,0.19,0.021792994,False,False,True,False,15.345219188471017,1,1
FL-600,miami-dade county,2012,490.32,82.2,221900,181500.0,3976,868,1229.0,1158.0,0,3108,0,938.0,0,934,2.235905701499505,0.020664715,0,0.0,0.02,0.5,0.01,0.02,0,2082154.0,0.029951351,0.19,0.024027078,False,False,True,False,14.527108608668277,0,0
FL-600,miami-dade county,2013,544.41,82.7,201000,192500.0,3802,839,1211.0,1148.0,0,2963,0,961.0,0,949,2.256755781170445,0.020840402,0,0.0,0.02,2.65,0.01,0.02,0,2105456.0,0.03018024,0.18,0.022188038,False,False,True,False,15.607197336411712,0,0
FL-600,miami-dade county,2014,615.04,82.9,194100,216000.0,4156,840,1198.0,1162.0,0,3316,0,977.0,291,962,2.211742095,0.022763,0,0.0,0.02,1.05,0.01,0.02,0,2149889.0,0.032861863,0.19,0.022672871,False,False,True,False,15.417079911492891,0,0
FL-600,miami-dade county,2015,675.12,83.6,203300,251900.0,4152,1007,1188.0,1200.0,189,3145,3,1031.0,255,977,2.1677573506472534,0.021530071,1,0.0,0.03,6.55,0.01,0.02,2,2179672.0,0.032626135,0.18,0.024181645,False,False,True,False,15.610342266430024,0,0
FL-600,miami-dade county,2016,735.48,84.0,221100,265200.0,4235,982,1200.0,1238.0,68,3253,0,1076.0,207,1000,2.1101263298417257,0.023805864,0,0.0,0.05,1.86,0.02,0.02,12,2196314.0,0.031463594,0.18,0.022580996,False,False,True,False,13.522077944731368,0,0
FL-600,miami-dade county,2017,793.17,83.7,242800,288100.0,3721,1011,1236.0,1297.0,33,2710,2,1159.0,204,1060,2.014166956386339,0.022466418,10,0.0,0.04,1.09,0.02,0.02,9,2234919.0,0.033090026,0.17,0.023297875,False,False,True,False,12.731837306238708,0,0
FL-600,miami-dade county,2018,851.37,83.3,268200,317100.0,3516,1030,1290.0,1342.0,27,2486,4,1211.0,182,1132,1.945411638,0.024961426,5,0.0,0.05,2.63,0.02,0.02,12,2242456.0,0.032692867,0.17,0.024996913,False,False,True,False,12.779082349996688,0,0
FL-601,broward county,2010,335.38,84.2,247500,179600.0,3225,800,1211.0,1255.0,0,2425,0,995.0,0,986,2.826930578893613,0.025341331,0,0.0,0.03,1.67,0.03,0.03,0,779747.0,0.033969975,0.27,0.020552265,False,True,False,False,21.351869369926053,1,1
FL-601,broward county,2011,317.58,83.1,225300,168000.0,3801,1268,1331.0,1217.0,0,2533,0,979.0,0,1012,2.826930578893613,0.022884867,0,0.0,0.03,0.13,0.02,0.03,0,779747.0,0.032537305,0.27,0.022449516,False,True,False,False,17.53586643873162,1,1
FL-601,broward county,2012,318.73,82.1,199900,165600.0,3183,1268,1307.0,1206.0,0,1915,0,1000.0,0,1027,2.516591139242241,0.02294813,0,0.0,0.03,0.85,0.03,0.03,0,1459514.0,0.033337979,0.27,0.024906109,False,True,False,False,15.28133979826456,0,0
FL-601,broward county,2013,350.49,82.4,181500,181000.0,2810,829,1281.0,1198.0,0,1981,0,1031.0,0,1029,2.536267539915503,0.022227008,0,0.0,0.03,3.41,0.02,0.03,0,1473425.0,0.033575986,0.28,0.022178064,False,True,False,False,14.79749737191953,0,0
FL-601,broward county,2014,402.46,82.5,177300,200900.0,2766,879,1255.0,1203.0,0,1887,0,1062.0,230,1044,2.497431955138155,0.024370398,0,0.0,0.02,1.86,0.03,0.04,0,1501142.0,0.032520256,0.28,0.025692329,False,True,False,False,13.789103180985274,0,0
FL-601,broward county,2015,433.0,83.2,185900,222900.0,2615,819,1239.0,1253.0,8,1796,3,1132.0,176,1061,2.429779407906474,0.023766297,16,0.0,0.03,7.05,0.03,0.04,15,1524624.0,0.035590651,0.28,0.024189198,False,True,False,False,12.054678597761244,0,0
FL-601,broward county,2016,469.28,83.7,202300,246100.0,2302,782,1251.0,1275.0,41,1520,2,1168.0,173,1094,2.358974292,0.024564419,13,0.0,0.03,2.09,0.03,0.04,4,1540712.0,0.035216209,0.29,0.025207475,False,True,False,False,12.655756199512574,0,0
FL-601,broward county,2017,506.15,83.4,223400,260700.0,2450,957,1279.0,1287.0,17,1493,4,1197.0,171,1140,2.284755439,0.024031473,17,0.0,0.03,1.93,0.03,0.04,10,1563187.0,0.03465456,0.29,0.027174233,False,True,False,False,11.879503500302368,0,0
FL-601,broward county,2018,544.66,83.0,243100,277600.0,2318,869,1318.0,1317.0,29,1449,4,1234.0,171,1208,2.216074929762877,0.020778369,13,0.0,0.04,3.42,0.03,0.04,13,1573954.0,0.036209936,0.29,0.028725541,False,True,False,False,14.353910173096994,0,0
FL-603,lee county,2010,293.2,84.4,210600,149500.0,944,483,1211.0,921.0,0,461,0,732.0,0,811,2.826930578893613,0.034435162,0,0.0,0.04,2.91,0.02,0.01,0,779747.0,0.045775948,0.08,0.027731956,False,True,False,False,15.348549886747026,1,1
FL-603,lee county,2011,285.43,83.3,181000,128300.0,969,456,1055.0,915.0,0,513,0,751.0,0,794,2.826930578893613,0.029526555,0,0.0,0.05,0.24,0.02,0.02,0,779747.0,0.040476454,0.08,0.030678092,False,True,False,False,12.10302916659564,1,1
FL-603,lee county,2012,304.0,82.7,161400,137600.0,781,371,996.0,902.0,0,410,0,749.0,0,774,3.277979425648355,0.030806161,0,0.0,0.03,0.45,0.02,0.02,0,531730.0,0.047832535,0.08,0.027776529,False,True,False,False,12.82681530444779,0,0
FL-603,lee county,2013,334.16,82.5,149400,154800.0,848,396,966.0,892.0,0,452,0,788.0,0,780,3.2973267706092138,0.033022999,0,0.0,0.04,2.97,0.02,0.02,0,542864.0,0.039728338,0.09,0.029035796,False,True,False,False,12.818003481905423,0,0
FL-603,lee county,2014,371.82,83.0,150000,163400.0,871,444,940.0,906.0,0,427,0,786.0,58,776,3.302123837663101,0.03239526,0,0.0,0.02,0.61,0.02,0.02,0,561154.0,0.043207415,0.09,0.029337187,False,True,False,False,8.746663019849512,0,0
FL-603,lee county,2015,412.45,82.5,157400,184200.0,614,314,926.0,917.0,9,300,4,847.0,41,790,3.2353972926869536,0.031663205,7,0.0,0.02,9.54,0.02,0.02,0,581536.0,0.045838782,0.09,0.030805633,False,True,False,False,6.077504097815974,0,0
FL-603,lee county,2016,455.96,83.4,171100,210900.0,439,183,939.0,976.0,8,256,1,910.0,30,821,3.155828073619877,0.03408663,5,0.0,0.03,1.38,0.02,0.02,2,600001.0,0.045257332,0.08,0.030827759,False,True,False,False,5.830438406,0,0
FL-603,lee county,2017,487.92,83.1,190200,225300.0,431,187,966.0,997.0,8,244,0,969.0,15,862,3.049558145016257,0.030498198,3,0.0,0.04,1.13,0.02,0.02,1,619434.0,0.04531644,0.08,0.024793567,False,True,False,False,9.647367514345158,0,0
FL-603,lee county,2018,514.54,83.1,207700,235000.0,728,204,1008.0,1055.0,3,524,1,1061.0,22,919,2.9041672193901724,0.036697102,2,0.0,0.04,5.4,0.01,0.02,0,633228.0,0.041284902,0.09,0.028320589,False,True,False,False,4.8275513024655545,0,0
FL-605,palm beach county,2010,341.41,83.9,261900,199500.0,2147,1407,1211.0,1173.0,0,740,0,957.0,0,975,2.826930578893613,0.037643362,0,0.0,0.02,1.67,0.02,0.02,0,779747.0,0.03403446,0.17,0.022349353,False,True,False,False,16.087634166599884,1,1
FL-605,palm beach county,2011,314.28,82.7,236600,183700.0,2148,1397,1247.0,1158.0,0,751,0,952.0,0,988,2.826930578893613,0.038329462,0,0.0,0.02,0.18,0.02,0.02,0,779747.0,0.035846664,0.17,0.024713392,False,True,False,False,15.598450475288324,1,1
FL-605,palm beach county,2012,310.67,81.4,216200,184400.0,2116,1397,1230.0,1136.0,0,719,0,974.0,0,999,2.3287653878591104,0.041368329,0,0.0,0.02,1.06,0.02,0.03,0,1105092.0,0.035838103,0.18,0.025466903,False,True,False,False,11.361557706728972,0,0
FL-605,palm beach county,2013,344.69,81.8,199700,193000.0,1559,947,1203.0,1125.0,0,612,0,1003.0,0,994,2.3393083985269305,0.04295383,0,0.0,0.02,5.53,0.02,0.02,0,1122554.0,0.033465217,0.18,0.021893773,False,True,False,False,11.418677694228416,0,0
FL-605,palm beach county,2014,393.56,81.8,194600,211200.0,1596,947,1183.0,1129.0,0,649,0,1024.0,67,1011,2.319841364045776,0.040443297,0,0.0,0.02,1.16,0.02,0.03,0,1145768.0,0.03648754,0.18,0.024615264,False,True,False,False,9.987426104643768,0,0
FL-605,palm beach county,2015,436.67,82.4,204700,246200.0,1421,825,1170.0,1185.0,28,596,3,1099.0,100,1026,2.2847341337907374,0.039744474,11,0.0,0.03,8.0,0.02,0.03,2,1166000.0,0.036239386,0.18,0.025279926,False,True,False,False,9.225590624805204,0,0
FL-605,palm beach county,2016,480.58,83.7,222700,269600.0,1332,825,1184.0,1233.0,37,507,3,1154.0,92,1062,2.210150401642188,0.041242961,12,0.0,0.02,1.61,0.02,0.03,6,1184761.0,0.034702627,0.18,0.027025024,False,True,False,False,10.92342725,0,0
FL-605,palm beach county,2017,519.36,83.4,242500,282900.0,1607,1081,1215.0,1244.0,36,526,3,1203.0,117,1115,2.1194514029716225,0.040431635,13,0.0,0.02,2.64,0.02,0.03,3,1207152.0,0.036921456,0.19,0.026854502,False,True,False,False,8.809232668053442,0,0
FL-605,palm beach county,2018,558.49,82.9,264400,299800.0,1309,851,1255.0,1280.0,13,458,5,1237.0,84,1178,2.0600650993630447,0.041008358,5,0.0,0.03,4.38,0.03,0.03,9,1225204.0,0.037934211,0.18,0.026763512,False,True,False,False,9.333431322113617,0,0
FL-606,collier county,2010,532.09,84.5,357400,255500.0,401,77,1211.0,1066.0,0,324,0,831.0,0,919,2.826930578893613,0.0317702,0,0.0,0.05,1.7,0.02,0.01,0,779747.0,0.044081347,0.07,0.031218214,False,True,False,False,11.885388286492717,1,1
