CoC Number,County,SSDI Participation Rate (Percent),Unemployment Rate,HPI with 2000 base,HPI,Year,Estimate Total Asian alone,Share_of_Single_Person_Households_1_year,Share_of_Single_Person_Households_5_year,Median_House_Values_1_year,Total Civilian Noninstitutionalized Population Estimate Population Age 16 and Over,Blind and disabled,Overall Homeless - Multiple Races,pct_change_total_homeless_per_10k,target_class
NC-507,wake county,2.631751953517868,5.2,121.81,460.11,2011,0.05,0.0,0.0,225700.0,1073690.0,31342.0,0,-0.0523657986592434,0
NC-507,wake county,2.631751953517868,7.3,120.14,453.77,2012,0.06,0.0,0.0,227400.0,1073690.0,31342.0,0,-0.038484755748600774,0
NC-507,wake county,2.315976403005456,5.8,122.68,463.37,2013,0.06,0.0,0.0,224100.0,743315.0,10779.0,0,0.03953755794203473,1
NC-507,wake county,2.2570862996686043,4.8,129.03,487.36,2014,0.06,0.0,0.0,237400.0,767361.0,10972.0,0,-0.2465927737029614,0
NC-507,wake county,2.2171309857481885,4.7,134.76,509.03,2015,0.06,0.0,0.0,252500.0,791338.0,10957.0,8,-0.11466258831679454,0
NC-507,wake county,2.1446093583853054,4.3,143.57,542.29,2016,0.07,0.0,0.0,268400.0,808772.0,10813.0,26,0.05507157647665939,1
NC-507,wake county,2.035236609764093,3.9,153.65,580.36,2017,0.07,0.25,0.26,276000.0,832827.0,10521.0,56,0.09152666409939525,1
NC-507,wake county,1.93606758,3.5,163.04,615.82,2018,0.07,0.26,0.26,301900.0,853276.0,10467.0,33,-0.03049354957209216,0
NC-511,cumberland county,2.631751953517868,5.2,130.35,237.79,2011,0.02,0.0,0.0,134400.0,1073690.0,31342.0,0,0.5175713948544722,1
NC-511,cumberland county,2.631751953517868,10.8,127.12,231.89,2012,0.02,0.0,0.0,124500.0,1073690.0,31342.0,0,-0.609295160623901,0
NC-511,cumberland county,2.631751953517868,9.4,124.84,227.73,2013,0.02,0.0,0.0,130800.0,1073690.0,31342.0,0,0.033416035263985844,1
